full_text,sentiment,created_at,tweet_id
@ReallyAmerican1 Apparently TFG has made enough money off of failing Truth Social to pay all his many legal bills. #Trump Money laundering is very handy.,0.35474214,2022-04-05 22:56:57,1511478024729935873
"ICYMI:  Will #China and the #CCP steamroll #Taiwam while the West blunders handling the #RussiaUkraineWar?
@TheLCPR looks into the question
https://t.co/edAOeiGOZJ
#Putin #Biden #policy #war #threat",0.47407988,2022-04-05 22:57:00,1511478035932979203
"Raped and murdered 10 year old kid in Ukraine.
But russians will say its fake.
World has finally to agree that russian soldiers are more evil than ISIS, more than Talibans 

#Ukraine #Russians
#Zelenskiy #GenocideOfUkrainians #war #biden 
#RussiaUkraineConflict #RussianArmy https://t.co/FApC5T90tk",0.20514482,2022-04-05 22:57:04,1511478052592705543
#DC 🙋‍♀️ FACT CHECK: TRUE✅ NO ONE LIKES #FJBiden #LetsGoBrandon #FJB #crackpipejoe #Biden #Bidenflation #BidenCrimeFamilly #BidenBorderCrisis #BidenGasHike #BidenIsAFailure AT ALL‼️💯💯 😂🥳,0.5503564,2022-04-05 22:57:20,1511478121924595716
Want Donald Trump's Endorsement In Michigan? You'll Have To Go Through This Family First. - HuffPost #maga #GOPBetrayedAmerica #Trump https://t.co/BYTDqKs24N,0.598063,2022-04-05 22:57:21,1511478125883846662
"The “independents” are all just part of the Simon Holmes a Court CLIMATE 200 PARTY.

#fakeindependents #climate200 @AusElectoralCom #AusVotes #elections @rowandean @dailytelegraph @sophieelsworth https://t.co/GwI40CP2Jn",0.40883997,2022-04-05 22:57:41,1511478209204080640
"#Obama came to the #WhiteHouse today, immediately got #mobbed, and no one wanted to talk to #Biden. https://t.co/JmpTiXEw0S https://t.co/S1h1BgYdfN",0.5043402,2022-04-05 22:58:16,1511478356419751937
"""I'm Joe Biden's husband...The only reason Joe is not here today, she's working, she's teaching..."" #Biden #Dementia #Gone #FakePresidency",0.46041656,2022-04-05 22:58:25,1511478391161384962
"Imo the once, @JohnMcCain, vice-prez, clown, candidate, @SarahPalinUSA, IS both a complete phony &amp; a FLAKE &amp; we're NOT talkN the #az sen @JeffFlake type! Didn't the former #AK GOV QUIT that job?

#Trump backs QUITTER #Palin in #Alaska’s 1 sole #House seat!
https://t.co/oxR25CUEWF",0.23671383,2022-04-05 22:58:32,1511478422765125634
"@MaryLTrump @kavitapmd @NormOrnstein @djrothkopf A DONALD TRUMP DOCUMENTARY. The Master Plan....
#Ukraine #trump #conspiracytheory #America #Biden #Clinton #Hillary #Russia #Zelenskyy #zelensky #putin #TrumpIsARussianAsset #UkraineRussianWar #worldwar3 #war #DonaldTrump #RussianUkrainianWar
https://t.co/xnk8rFIJq3",0.55317056,2022-04-05 22:59:25,1511478645944205319
